Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Romania,,,,,98.60428619,,,,,,,98.84449768,,,98.90000153
Russian Federation,,,,99.68427277,,,,,,,,99.73005676,,99.69999695,
Rwanda,,,,65.85227203,,68.3310318,,70.80413055,,,,73.21559143,,,75.90000153
South Asia,61.71054077,63.63489151,64.33466339,66.0164032,66.51304626,67.26596832,68.01159668,68.73356628,69.65641785,70.9983902,71.69451141,71.96769714,72.67485809,73.28027344,
Saudi Arabia,,,,,,,94.4263382,,,,95.32862854,,,97.58506775,
Sudan,,53.51737976,,,,,,,,,,60.6971817,,,
Senegal,,,48.03678131,,51.81454849,,43.53450012,,,,51.90042114,,,,56.29999924
Singapore,,,,95.85733032,96.18604279,96.36978912,96.54801941,96.71669006,96.82549286,97.04956055,97.2022171,97.34485626,97.47958374,97.1318512,
Solomon Islands,,,76.59999847,,,,,,,,,,,,
Sierra Leone,,,,,,,32.42617035,,,,,43.20632935,,,47.70000076
El Salvador,82.02863312,83.95130157,84.10289001,84.49272156,85.49398804,,86.76757813,,87.96984863,88.14176941,88.48271179,89.00859833,89.13791656,89.98452759,
San Marino,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,
Serbia,,,,,97.96240997,,,,,98.84150696,,,99.48252869,,
Sub-Saharan Africa (excluding high income),57.27846146,57.36851883,58.1719017,58.72864914,60.30070877,61.48683929,62.34542084,62.99871826,63.59392929,64.30213165,64.68296051,66.1353302,67.05568695,67.27060699,
South Sudan,,26.83127975,,,,,,,,,,34.52275848,,,
Sub-Saharan Africa,57.28401184,57.37395096,58.17715073,58.73373032,60.3055191,61.49142075,62.34981155,63.00296021,63.59801865,64.30605316,64.68676758,66.13889313,67.05906677,67.27390289,
Small states,83.23513031,84.14752197,83.54250336,83.97918701,84.33994293,84.49266052,84.78076172,85.31575775,86.05586243,86.32956696,86.38819885,86.50219727,86.64064026,86.77744293,
Sao Tome and Principe,,69.53639221,,,,90.14309692,,,,,,92.81664276,,,93.80000305
